"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.809,0.035737786,0.8086239,0.15563826,53029114,"humanite_fr",1604914463177527296,"L' Humanité du mardi 20 décembre 2022 chez les marchands de journaux et dès ce soir 22h00 sur ordinateur. https://t.co/s4nZf9aIRA tablettes et smartphones avec nos applis IOS https://t.co/23hO2Y48tL et Android https://t.co/AzRCWA27t3 #Ukraine #war #Russie #Poutine #Zelensky https://t.co/9JILrnlbn0","2022-12-19 20:00:00",20,8,1,10,1
"Negative",0.92,0.9200948,0.04158299,0.038322188,53029114,"humanite_fr",1604869172776820739,"#Sanofi Ce mouvement d’une ampleur inédite s’était étendu sur une quinzaine de sites. La grève des salariés s’est achevée. Les employés ont voté la fin de leur mobilisation et s’apprêtent à repartir au travail. @CgtSanofi #Bigpharma 
https://t.co/n4QUJPtqUT","2022-12-19 17:00:02",9,2,0,7,0
"Negative",0.821,0.8208767,0.11081112,0.0683122,53029114,"humanite_fr",1604855407427698692,"#KarimBenzema #KB9
Sacré Ballon d’Or après une saison de rêve, l’attaquant du Real Madrid, blessé et forfait durant #coupedumonde2022 #Qatar2022, annonce sur Twitter, le jour de ses 35 ans, qu'il ne jouera plus sous le maillot tricolore. https://t.co/NTgyoYpwf2","2022-12-19 16:05:20",28,9,6,13,0
"Negative",0.94,0.94042236,0.04056043,0.019017156,53029114,"humanite_fr",1604854077002682369,"#AirFrance, soucieuse de son image, discrimine-t-elle ses salariés en fonction de leur apparence physique pour écarter  ceux qui ne correspondent pas à ses standards ? C’est la question épineuse qu’est venue récemment trancher la Cour de cassation. https://t.co/LymbJ6CSma https://t.co/vO5WqkNyoH","2022-12-19 16:00:03",12,7,2,3,0
"Negative",0.611,0.6114202,0.12555647,0.2630233,53029114,"humanite_fr",1604838965474758657,"#Israél peut remercier #Macron. Le président française n’a jamais, au cours de ces longues années de harcèlement contre #SalahHamouri exprimé  sa condamnation de l’attitude d’Israël. Il n’a jamais dénoncé l’emprisonnement de ce citoyen français. 
https://t.co/KB2osLwABl","2022-12-19 15:00:00",45,13,2,30,0
"Negative",0.915,0.9153344,0.05037156,0.034294005,53029114,"humanite_fr",1604823866869551105,"#migrants Dimanche 18 décembre, c’était la Journée internationale des migrants. Ceux du camp de Grande-Synthe (Nord) subissent évacuations à répétition et météo glaciale qui rendent leur vie insupportable. 
https://t.co/9WwLp0bWiA","2022-12-19 14:00:00",15,6,0,9,0
"Negative",0.92,0.91982913,0.0612784,0.018892573,53029114,"humanite_fr",1604808767283073026,"L'œil de Bobika 
#DessinDePresse #extremedroite #racisme #xenophobie https://t.co/8gkScr9cdt https://t.co/4a8lufrIBS","2022-12-19 13:00:00",49,17,0,32,0
"Positive",0.455,0.33103132,0.21419567,0.45477304,53029114,"humanite_fr",1604793668988129282,"#coupedumonde #fifa pas comme les autres pourrait marquer un changement dans le jugement des aficionados du #football. Ceux qui l’ont boycotté le pensent. Et espèrent qu’il y aura un après-#Qatar.
https://t.co/CA91ZZByGm","2022-12-19 12:00:00",9,5,0,4,0
"Negative",0.925,0.925205,0.038392358,0.036402687,53029114,"humanite_fr",1604778575374061568,"#Tunisie L’opposition dénonce le « fiasco » des législatives, marquées par un taux d’abstention de plus de 92 %. La légitimité du chef de l’État, artisan d’un verrouillage institutionnel depuis son coup de force de juillet 2021, est un peu plus ébranlée. https://t.co/vlAA0lRR37","2022-12-19 11:00:02",23,11,0,12,0
"Negative",0.587,0.58658993,0.23483285,0.17857715,53029114,"humanite_fr",1604763473098858497,"#educationnationale 
Plus de 1 100 postes supprimés dans le primaire, près de 500 dans le secondaire : ni la carte scolaire ni le nombre d’inscrits aux concours de recrutement ne rassurent pour l’avenir.  Mobilisation le 17 janvier !
https://t.co/bEYOp19yu2","2022-12-19 10:00:01",51,29,2,20,0
"Neutral",0.536,0.16729255,0.5360076,0.29669988,53029114,"humanite_fr",1604748375676424192,"#pénurie A l’initiative du groupe @senateursCRCE, une commission d’enquête va voir le jour en janvier 2023 pour interroger les pénuries affectant plusieurs #medicaments  comme #paracetamol ou l’amoxicilline. #BigPharma 
https://t.co/tEK4qNZvmz","2022-12-19 09:00:02",48,26,1,21,0
"Negative",0.62,0.6195241,0.1301725,0.25030336,53029114,"humanite_fr",1604733272092655617,"Edito #Bleus échouent donc sur la dernière marche après un parcours exceptionnel. Et c’est #Argentine qui arrache la 3e étoile après un match qui aura tenu toutes ses promesses. #Qatar2022 #coupedumonde2022
https://t.co/w5jKFgV9Er https://t.co/SuCR7sQ1U5","2022-12-19 08:00:01",11,3,1,7,0
