"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.437,0.150326,0.43722165,0.41245228,26110930,"LCI",1592178181641232384,"Météo : un petit air d'hiver s'est installé en Alsace https://t.co/rY6xslR69p https://t.co/rQcQvyWtkx","2022-11-14 16:30:34",6,1,0,5,0
"Neutral",0.77,0.056278087,0.77047914,0.17324276,26110930,"LCI",1587033369442979841,"Météo : à quel temps s'attendre cette semaine ? https://t.co/npzV7ucKbM https://t.co/ZGWlulyA1d","2022-10-31 11:46:55",5,0,2,3,0
"Neutral",0.703,0.05583006,0.7032357,0.24093424,26110930,"LCI",1587029411198541824,"🎃 Comment réaliser du faux sang ""maison"" pour Halloween ? https://t.co/NuPt22ZVUv https://t.co/Y1y8hWYCcY","2022-10-31 11:31:11",9,0,2,7,0
"Negative",0.899,0.8993607,0.07568277,0.024956536,26110930,"LCI",1586957778308026368,"Pièges en ligne : alerte aux arnaques sur le net https://t.co/KlAT05hDmj https://t.co/7TgpoTSYcj","2022-10-31 06:46:33",12,4,1,7,0
"Neutral",0.635,0.26128176,0.6347329,0.10398534,26110930,"LCI",1586953891194851328,"Serge Lama : la douleur et la vie jusqu'au bout https://t.co/u7zb6OedHp https://t.co/z9ruS4olLY","2022-10-31 06:31:06",14,1,0,12,1
"Neutral",0.463,0.10501581,0.46253714,0.43244708,26110930,"LCI",1596761005174194176,"""J’ai trouvé ma voix en français"" : le timbre envoutant de Melody Gardot https://t.co/B6ohT8dM0C https://t.co/BRAS0ZsgTC","2022-11-27 08:01:04",19,1,2,16,0
"Negative",0.689,0.68871725,0.23084143,0.08044132,26110930,"LCI",1596276459571666947,"#Chlordecone aux Antilles : le parquet de Paris demande un non-lieu dans l'enquête https://t.co/bWz61FWfW7 https://t.co/ZPW1IgTUfB","2022-11-25 23:55:40",15,3,5,6,1
"Negative",0.787,0.7873568,0.18105131,0.031591814,26110930,"LCI",1596273982130429952,"#Mondial2022 : des supporters ukrainiens ont-ils vraiment fait l'apologie du nazisme ? https://t.co/y2h364rpdU https://t.co/oTYO7PIFky","2022-11-25 23:45:49",61,12,30,17,2
"Positive",0.473,0.18891934,0.33843902,0.47264162,26110930,"LCI",1596177751966453760,"#McKinsey : ""C'est normal que la justice fasse son travail"", réagit Emmanuel #Macron https://t.co/swmlAF0wVN https://t.co/EKRLtw353t","2022-11-25 17:23:26",97,7,45,42,3
"Negative",0.781,0.78088385,0.1824195,0.036696658,26110930,"LCI",1596081678702690304,"5 heures de retard pour un #Ouigo Nantes-Paris, les voyageurs passent la nuit dans le train https://t.co/F953tNFNWd https://t.co/gKTOCnQ52p","2022-11-25 11:01:40",15,6,1,7,1
"Positive",0.718,0.117652684,0.16481315,0.71753424,26110930,"LCI",1596919563890921472,"L'Ukraine engrange les promesses de soutien au 90e anniversaire de l'Holodomor https://t.co/0NprQd8bdV https://t.co/RFWfeaTtez","2022-11-27 18:31:08",83,4,37,41,1
"Positive",0.341,0.33077288,0.32814363,0.34108347,26110930,"LCI",1596078003292762113,"Conso : la baisse du chauffage profite au bon vieux pull en laine https://t.co/ZtJOAv50rq https://t.co/4v9E37NvpO","2022-11-25 10:47:04",20,2,4,14,0
"Neutral",0.771,0.11075256,0.7705494,0.11869797,26110930,"LCI",1595817376049668096,"Emploi : PME cherche main-d'œuvre désespérément https://t.co/KyrsirNoPj https://t.co/Wl9OoZhPRP","2022-11-24 17:31:25",10,3,2,5,0
"Negative",0.93,0.92986214,0.055729073,0.014408786,26110930,"LCI",1596916094908104705,"Financement illégal de campagne : Manuel #Valls condamné à payer 277.000 euros à Barcelone https://t.co/4MTEEkuqqE https://t.co/ak4T26sLFN","2022-11-27 18:17:20",222,47,50,107,18
"Neutral",0.642,0.049395137,0.64232224,0.30828264,26110930,"LCI",1596912272554618880,"Coupe du monde : nouveau carton d’audience pour France-Danemark sur TF1 https://t.co/TfZdGjML5f https://t.co/AdEy7StoFb","2022-11-27 18:02:09",40,4,12,20,4
"Positive",0.789,0.029847296,0.18139666,0.788756,26110930,"LCI",1596995056002826242,"Mondial 2022 : après la victoire face au Danemark (et une soirée de fête), un dimanche calme chez les Bleus https://t.co/j7IXE4PYZy https://t.co/MdSldOKeDb","2022-11-27 23:31:06",19,3,2,14,0
"Neutral",0.661,0.18881607,0.66106,0.15012397,26110930,"LCI",1596987569039736832,"REPORTAGE- Ouzbékistan : voyage sur les routes de la soie https://t.co/OqkBLsrmBr https://t.co/vTfw4oSYdl","2022-11-27 23:01:21",11,1,2,8,0
"Neutral",0.771,0.076963566,0.7714107,0.15162568,26110930,"LCI",1596983465169264646,"Noël : en quoi consiste l'Avent, qui commence ce dimanche ? https://t.co/R9G29ALQV4 https://t.co/10fIGnvAuH","2022-11-27 22:45:03",11,4,0,6,1
"Negative",0.727,0.7266478,0.18692409,0.08642813,26110930,"LCI",1596979879157071872,"Le nombre de détenus dans les prisons françaises atteint un record absolu en novembre https://t.co/HvFhdpchLJ https://t.co/KGrGLl4KxQ","2022-11-27 22:30:48",14,3,3,7,1
"Positive",0.877,0.026823757,0.09588675,0.8772895,26110930,"LCI",1596976412808056832,"Coupe du Monde 2022 : après la victoire sur le Danemark, la France s'est réveillée avec le sourire https://t.co/hXjEodhjjU https://t.co/y9NNTnutqE","2022-11-27 22:17:01",14,3,2,9,0
"Negative",0.861,0.8609628,0.11812486,0.02091234,26110930,"LCI",1596972308677238784,"Interrogations autour d’un couple russe en Suède arrêté pour espionnage https://t.co/8BQX7ogV24 https://t.co/h3YQGPtOFT","2022-11-27 22:00:43",21,3,6,12,0
